,SCA Types__SCA,SCA Types__PassLive,SCA Types__PassDead,SCA Types__TO,SCA Types__Sh,SCA Types__Fld,SCA Types__Def,GCA Types__GCA,GCA Types__PassLive,GCA Types__PassDead,GCA Types__TO,GCA Types__Sh,GCA Types__Fld,GCA Types__Def
3106,17.0,11.0,1.0,3.0,0.0,1.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0
3107,19.0,13.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
3108,12.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3109,28.0,19.0,1.0,3.0,3.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0
3110,27.0,18.0,1.0,4.0,1.0,2.0,1.0,9.0,7.0,0.0,0.0,1.0,1.0,0.0
3111,18.0,15.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
3112,16.0,12.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
3113,14.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3114,16.0,9.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
3115,33.0,22.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
3116,8.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0
3117,27.0,25.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3118,23.0,11.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3119,18.0,13.0,3.0,0.0,0.0,2.0,0.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0
3120,11.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
