,Standard__Gls,Standard__Sh,Standard__SoT,Standard__SoT%,Standard__G/Sh,Standard__G/SoT,Standard__Dist,Standard__FK,Standard__PK,Standard__PKatt
86,1,11.0,6.0,54.5,0.09,0.17,17.8,0.0,0,1
87,2,16.0,9.0,56.3,0.13,0.22,20.2,1.0,0,0
88,0,8.0,3.0,37.5,0.0,0.0,20.7,0.0,0,0
89,1,15.0,3.0,20.0,0.07,0.33,16.0,0.0,0,0
90,0,27.0,6.0,22.2,0.0,0.0,14.3,0.0,0,0
91,1,12.0,3.0,25.0,0.08,0.33,20.0,0.0,0,0
92,1,14.0,9.0,64.3,0.07,0.11,17.5,0.0,0,0
93,0,7.0,0.0,0.0,0.0,,15.0,0.0,0,0
94,0,14.0,5.0,35.7,0.0,0.0,19.4,0.0,0,0
95,0,10.0,3.0,30.0,0.0,0.0,13.6,0.0,0,0
96,1,8.0,4.0,50.0,0.13,0.25,19.6,0.0,0,0
97,1,10.0,3.0,30.0,0.1,0.33,20.0,0.0,0,0
98,0,13.0,3.0,23.1,0.0,0.0,19.3,1.0,0,0
99,3,12.0,8.0,66.7,0.17,0.25,20.4,2.0,1,1
100,2,13.0,4.0,30.8,0.15,0.5,20.1,0.0,0,0
101,0,11.0,0.0,0.0,0.0,,20.8,0.0,0,0
102,2,21.0,7.0,33.3,0.1,0.29,18.4,1.0,0,0
103,1,8.0,3.0,37.5,0.13,0.33,18.8,1.0,0,0
104,3,7.0,6.0,85.7,0.29,0.33,16.2,0.0,1,1
105,3,16.0,7.0,43.8,0.19,0.43,16.6,0.0,0,0
106,0,13.0,2.0,15.4,0.0,0.0,19.6,1.0,0,0
107,1,9.0,5.0,55.6,0.11,0.2,18.4,2.0,0,0
108,3,16.0,4.0,25.0,0.13,0.5,19.9,2.0,1,1
109,1,21.0,6.0,28.6,0.05,0.17,20.1,0.0,0,0
110,0,6.0,1.0,16.7,0.0,0.0,14.3,0.0,0,0
111,4,17.0,8.0,47.1,0.24,0.5,15.4,1.0,0,0
112,0,8.0,3.0,37.5,0.0,0.0,22.6,2.0,0,0
113,2,9.0,3.0,33.3,0.22,0.67,15.7,0.0,0,0
114,0,9.0,0.0,0.0,0.0,,16.1,0.0,0,0
115,4,11.0,6.0,54.5,0.36,0.67,20.9,1.0,0,0
116,3,13.0,4.0,30.8,0.23,0.75,20.4,0.0,0,0
117,2,18.0,6.0,33.3,0.11,0.33,24.1,2.0,0,0
118,0,8.0,1.0,12.5,0.0,0.0,20.1,1.0,0,0
119,4,14.0,6.0,42.9,0.29,0.67,16.2,0.0,0,0
120,3,16.0,9.0,56.3,0.19,0.33,15.3,1.0,0,0
121,3,9.0,5.0,55.6,0.33,0.6,12.7,0.0,0,0
122,2,15.0,9.0,60.0,0.13,0.22,15.3,1.0,0,0
123,1,10.0,3.0,30.0,0.1,0.33,14.3,0.0,0,0
124,2,11.0,4.0,36.4,0.09,0.25,15.9,0.0,1,1
125,0,10.0,3.0,30.0,0.0,0.0,21.2,1.0,0,0
126,0,13.0,0.0,0.0,0.0,,17.0,1.0,0,0
127,2,8.0,3.0,37.5,0.25,0.67,13.4,1.0,0,0
128,0,7.0,3.0,42.9,0.0,0.0,18.7,0.0,0,0
129,0,11.0,2.0,18.2,0.0,0.0,15.8,0.0,0,0
130,4,10.0,5.0,50.0,0.4,0.8,15.8,1.0,0,0
131,4,18.0,6.0,33.3,0.22,0.67,18.5,0.0,0,0
132,0,11.0,1.0,9.1,0.0,0.0,21.5,1.0,0,0
133,3,22.0,10.0,45.5,0.14,0.3,16.3,3.0,0,0
134,3,9.0,4.0,44.4,0.22,0.5,17.3,0.0,1,1
135,0,8.0,0.0,0.0,0.0,,18.2,0.0,0,0
136,3,11.0,5.0,45.5,0.18,0.4,16.9,0.0,1,1
137,2,16.0,6.0,37.5,0.13,0.33,13.6,0.0,0,0
138,2,23.0,8.0,34.8,0.09,0.25,18.4,0.0,0,0
139,0,8.0,3.0,37.5,0.0,0.0,20.2,0.0,0,0
140,0,13.0,3.0,23.1,0.0,0.0,22.4,0.0,0,0
141,0,21.0,5.0,23.8,0.0,0.0,17.3,1.0,0,0
142,0,15.0,5.0,33.3,0.0,0.0,15.6,1.0,0,0
143,1,13.0,2.0,15.4,0.08,0.5,18.1,0.0,0,0
144,2,16.0,6.0,37.5,0.13,0.33,18.9,1.0,0,0
145,1,8.0,3.0,37.5,0.13,0.33,17.5,0.0,0,0
146,2,14.0,6.0,42.9,0.14,0.33,22.5,1.0,0,0
147,0,8.0,0.0,0.0,0.0,,21.7,0.0,0,0
148,1,15.0,7.0,46.7,0.07,0.14,18.5,2.0,0,0
149,1,5.0,4.0,80.0,0.2,0.25,17.3,0.0,0,0
150,0,12.0,3.0,25.0,0.0,0.0,19.1,1.0,0,0
151,0,8.0,2.0,25.0,0.0,0.0,28.6,0.0,0,0
152,2,10.0,3.0,30.0,0.2,0.67,21.3,0.0,0,0
153,1,26.0,5.0,19.2,0.04,0.2,15.9,1.0,0,0
154,0,13.0,5.0,38.5,0.0,0.0,22.2,0.0,0,0
155,2,19.0,9.0,47.4,0.11,0.22,21.4,0.0,0,0
156,6,13.0,9.0,69.2,0.46,0.67,16.2,0.0,0,0
157,3,12.0,5.0,41.7,0.25,0.6,18.5,1.0,0,1
158,2,24.0,11.0,45.8,0.08,0.18,16.5,0.0,0,0
159,5,14.0,7.0,50.0,0.36,0.71,16.5,0.0,0,0
160,1,5.0,1.0,20.0,0.2,1.0,19.5,0.0,0,0
161,1,9.0,5.0,55.6,0.11,0.2,17.3,0.0,0,0
162,0,7.0,3.0,42.9,0.0,0.0,19.3,1.0,0,0
163,1,12.0,5.0,41.7,0.08,0.2,19.3,0.0,0,0
164,0,17.0,5.0,29.4,0.0,0.0,19.3,2.0,0,0
165,4,18.0,8.0,44.4,0.22,0.5,20.7,2.0,0,0
166,0,13.0,5.0,38.5,0.0,0.0,20.3,0.0,0,0
167,2,12.0,4.0,33.3,0.17,0.5,15.6,1.0,0,0
168,0,16.0,5.0,31.3,0.0,0.0,19.9,1.0,0,0
169,3,25.0,9.0,36.0,0.12,0.33,18.4,0.0,0,0
170,0,19.0,8.0,42.1,0.0,0.0,19.6,2.0,0,0
171,1,4.0,2.0,50.0,0.25,0.5,17.9,0.0,0,0
172,0,7.0,1.0,14.3,0.0,0.0,15.2,0.0,0,0
173,1,16.0,4.0,25.0,0.06,0.25,26.3,2.0,0,0
174,2,15.0,7.0,46.7,0.13,0.29,20.5,1.0,0,0
175,0,9.0,2.0,22.2,0.0,0.0,26.3,0.0,0,0
176,1,4.0,1.0,25.0,0.25,1.0,19.5,0.0,0,0
177,1,19.0,5.0,26.3,0.05,0.2,20.4,1.0,0,0
178,2,12.0,5.0,41.7,0.08,0.2,22.1,1.0,1,1
179,1,14.0,5.0,35.7,0.0,0.0,18.0,1.0,1,1
180,2,6.0,1.0,16.7,0.17,1.0,19.3,0.0,1,1
181,1,16.0,6.0,37.5,0.06,0.17,24.5,2.0,0,0
182,1,18.0,5.0,27.8,0.06,0.2,19.7,1.0,0,0
183,1,12.0,4.0,33.3,0.08,0.25,19.9,0.0,0,0
184,2,17.0,5.0,29.4,0.12,0.4,18.3,2.0,0,0
185,0,17.0,5.0,29.4,0.0,0.0,20.2,0.0,0,0
186,2,9.0,5.0,55.6,0.22,0.4,17.5,0.0,0,0
187,1,9.0,0.0,0.0,0.0,,23.4,0.0,1,1
188,2,9.0,4.0,44.4,0.11,0.25,19.3,1.0,1,1
189,1,15.0,4.0,26.7,0.07,0.25,18.9,1.0,0,0
190,1,14.0,5.0,35.7,0.07,0.2,15.6,0.0,0,0
191,2,15.0,4.0,26.7,0.13,0.5,21.2,1.0,0,0
192,2,16.0,6.0,37.5,0.13,0.33,17.2,1.0,0,0
193,2,3.0,2.0,66.7,0.67,1.0,11.6,0.0,0,0
194,1,10.0,2.0,20.0,0.1,0.5,15.9,1.0,0,0
195,2,14.0,2.0,14.3,0.07,0.5,20.6,1.0,1,1
196,3,14.0,4.0,28.6,0.14,0.5,16.3,0.0,1,1
197,1,13.0,5.0,38.5,0.08,0.2,17.4,1.0,0,0
198,0,9.0,4.0,44.4,0.0,0.0,23.1,0.0,0,0
199,1,10.0,4.0,40.0,0.1,0.25,23.7,0.0,0,0
200,2,15.0,4.0,26.7,0.13,0.5,20.7,0.0,0,0
201,2,9.0,2.0,22.2,0.22,1.0,15.2,0.0,0,0
202,0,13.0,6.0,46.2,0.0,0.0,19.5,1.0,0,0
203,3,12.0,5.0,41.7,0.17,0.4,18.8,1.0,1,1
204,0,15.0,1.0,6.7,0.0,0.0,25.2,1.0,0,0
205,1,11.0,3.0,27.3,0.09,0.33,22.3,1.0,0,0
206,1,17.0,5.0,29.4,0.06,0.2,23.3,1.0,0,0
207,0,9.0,3.0,33.3,0.0,0.0,19.5,0.0,0,0
208,1,8.0,3.0,37.5,0.13,0.33,19.9,0.0,0,0
209,2,18.0,5.0,27.8,0.11,0.4,17.6,1.0,0,0
210,1,7.0,4.0,57.1,0.14,0.25,17.7,1.0,0,0
211,2,10.0,5.0,50.0,0.2,0.4,16.5,1.0,0,0
212,1,14.0,5.0,35.7,0.07,0.2,14.8,1.0,0,0
213,3,11.0,5.0,45.5,0.27,0.6,18.2,1.0,0,0
214,1,9.0,5.0,55.6,0.11,0.2,19.2,0.0,0,0
215,2,14.0,3.0,21.4,0.14,0.67,23.0,1.0,0,0
216,0,10.0,2.0,20.0,0.0,0.0,19.3,0.0,0,0
217,3,10.0,6.0,60.0,0.3,0.5,12.7,1.0,0,0
218,3,27.0,9.0,33.3,0.11,0.33,20.0,2.0,0,0
219,0,3.0,1.0,33.3,0.0,0.0,12.3,0.0,0,0
220,1,14.0,4.0,28.6,0.07,0.25,21.4,1.0,0,0
221,1,14.0,5.0,35.7,0.07,0.2,18.6,1.0,0,0
222,1,11.0,5.0,45.5,0.09,0.2,18.4,0.0,0,0
223,4,12.0,7.0,58.3,0.25,0.43,13.2,0.0,1,1
224,3,11.0,6.0,54.5,0.27,0.5,11.4,0.0,0,0
225,0,18.0,7.0,38.9,0.0,0.0,21.2,1.0,0,0
226,2,12.0,5.0,41.7,0.17,0.4,15.0,0.0,0,0
227,1,11.0,5.0,45.5,0.09,0.2,14.3,1.0,0,0
228,0,14.0,3.0,21.4,0.0,0.0,20.6,2.0,0,0
229,0,7.0,0.0,0.0,0.0,,23.6,0.0,0,0
230,3,14.0,5.0,35.7,0.21,0.6,18.4,0.0,0,0
231,2,12.0,4.0,33.3,0.17,0.5,19.0,0.0,0,0
232,0,13.0,4.0,30.8,0.0,0.0,15.5,1.0,0,0
233,2,9.0,4.0,44.4,0.22,0.5,19.7,0.0,0,0
234,0,10.0,5.0,50.0,0.0,0.0,19.1,1.0,0,0
235,2,11.0,6.0,54.5,0.18,0.33,19.8,2.0,0,0
236,1,15.0,3.0,20.0,0.07,0.33,16.9,0.0,0,0
237,1,6.0,3.0,50.0,0.17,0.33,26.7,0.0,0,1
238,4,16.0,6.0,37.5,0.19,0.5,21.5,0.0,1,1
239,0,4.0,0.0,0.0,0.0,,17.9,0.0,0,0
240,1,13.0,6.0,46.2,0.0,0.0,19.9,0.0,1,1
241,0,10.0,2.0,20.0,0.0,0.0,22.1,1.0,0,0
242,1,6.0,2.0,33.3,0.17,0.5,22.0,0.0,0,0
243,2,12.0,6.0,50.0,0.17,0.33,19.2,1.0,0,0
244,2,9.0,3.0,33.3,0.22,0.67,22.5,0.0,0,0
245,3,15.0,8.0,53.3,0.2,0.38,14.7,0.0,0,1
246,2,13.0,7.0,53.8,0.15,0.29,17.1,0.0,0,0
247,2,12.0,6.0,50.0,0.17,0.33,20.5,2.0,0,0
248,0,17.0,2.0,11.8,0.0,0.0,21.2,3.0,0,0
249,4,16.0,10.0,62.5,0.25,0.4,15.4,0.0,0,0
250,2,14.0,4.0,28.6,0.14,0.5,15.4,1.0,0,0
251,2,10.0,3.0,30.0,0.2,0.67,17.8,0.0,0,0
252,2,8.0,7.0,87.5,0.25,0.29,16.4,0.0,0,0
253,2,16.0,3.0,18.8,0.13,0.67,14.9,1.0,0,0
254,3,14.0,3.0,21.4,0.14,0.67,21.4,0.0,1,1
255,2,18.0,4.0,22.2,0.11,0.5,20.5,1.0,0,0
256,1,9.0,1.0,11.1,0.11,1.0,16.9,0.0,0,0
257,1,12.0,8.0,66.7,0.08,0.13,19.0,1.0,0,0
258,0,7.0,3.0,42.9,0.0,0.0,18.9,0.0,0,0
259,1,10.0,5.0,50.0,0.1,0.2,21.9,1.0,0,0
260,0,18.0,2.0,11.1,0.0,0.0,18.6,0.0,0,0
261,0,3.0,3.0,100.0,0.0,0.0,20.3,0.0,0,0
262,2,22.0,7.0,31.8,0.09,0.29,13.6,1.0,0,0
263,2,10.0,5.0,50.0,0.2,0.4,18.3,0.0,0,0
264,1,9.0,1.0,11.1,0.0,0.0,17.5,0.0,1,1
265,2,16.0,10.0,62.5,0.13,0.2,15.7,0.0,0,0
266,2,10.0,6.0,60.0,0.2,0.33,18.3,0.0,0,0
267,0,12.0,2.0,16.7,0.0,0.0,17.9,1.0,0,0
268,0,11.0,4.0,36.4,0.0,0.0,14.2,0.0,0,0
269,0,19.0,4.0,21.1,0.0,0.0,18.9,1.0,0,0
270,3,11.0,5.0,45.5,0.27,0.6,16.9,1.0,0,0
271,1,12.0,4.0,33.3,0.08,0.25,20.1,0.0,0,0
272,1,11.0,3.0,27.3,0.09,0.33,19.4,0.0,0,0
273,0,13.0,6.0,46.2,0.0,0.0,21.8,4.0,0,0
274,0,6.0,4.0,66.7,0.0,0.0,21.6,1.0,0,0
275,3,9.0,4.0,44.4,0.22,0.5,23.9,2.0,1,1
276,1,21.0,7.0,33.3,0.05,0.14,17.6,2.0,0,0
277,0,8.0,2.0,25.0,0.0,0.0,21.2,0.0,0,0
278,2,11.0,3.0,27.3,0.18,0.67,21.3,1.0,0,0
279,3,8.0,3.0,37.5,0.25,0.67,25.5,0.0,1,1
280,0,6.0,1.0,16.7,0.0,0.0,23.8,2.0,0,0
281,2,22.0,9.0,40.9,0.09,0.22,14.8,0.0,0,0
282,0,6.0,3.0,50.0,0.0,0.0,18.4,1.0,0,0
283,0,6.0,1.0,16.7,0.0,0.0,26.3,0.0,0,1
284,0,10.0,3.0,30.0,0.0,0.0,20.5,0.0,0,0
285,5,20.0,7.0,35.0,0.2,0.57,18.3,0.0,1,1
286,0,3.0,0.0,0.0,0.0,,17.3,0.0,0,0
287,1,16.0,4.0,25.0,0.06,0.25,21.0,0.0,0,0
288,1,13.0,5.0,38.5,0.08,0.2,21.5,1.0,0,0
289,2,12.0,6.0,50.0,0.08,0.17,19.5,0.0,1,1
290,2,7.0,3.0,42.9,0.14,0.33,28.1,1.0,1,2
291,0,18.0,2.0,11.1,0.0,0.0,15.9,0.0,0,0
292,0,9.0,4.0,44.4,0.0,0.0,26.5,1.0,0,0
293,1,4.0,2.0,50.0,0.25,0.5,18.1,0.0,0,0
294,1,13.0,2.0,15.4,0.0,0.0,18.0,0.0,1,1
295,0,12.0,3.0,25.0,0.0,0.0,19.4,2.0,0,0
296,2,16.0,6.0,37.5,0.13,0.33,16.9,2.0,0,0
297,0,9.0,5.0,55.6,0.0,0.0,23.4,0.0,0,0
298,0,8.0,3.0,37.5,0.0,0.0,21.3,0.0,0,0
299,1,12.0,5.0,41.7,0.08,0.2,15.9,0.0,0,0
300,0,10.0,2.0,20.0,0.0,0.0,18.9,3.0,0,0
301,0,16.0,6.0,37.5,0.0,0.0,16.1,0.0,0,0
302,0,10.0,2.0,20.0,0.0,0.0,22.2,1.0,0,0
303,0,7.0,1.0,14.3,0.0,0.0,12.6,0.0,0,0
304,1,7.0,3.0,42.9,0.14,0.33,14.4,0.0,0,0
